ts,round,terror_ids,map_id
260518045651,Classic,100,47
260518045653,Classic,126,34
260518045712,Cracked,86,48
260518045718,Alternate,148,36
260518045731,Classic,109,23
260518045737,Classic,133,51
260518045757,Classic,43,2
260518045759,Classic,20,69
260518045812,Bloodbath,16;103;110,56
260518045821,Classic,9,47
260518045840,Classic,47,28
260518045844,Classic,119,41
260518045853,Classic,28,37
260518045902,Classic,22,63
260518045924,Bloodbath,106;112;120,4
260518045934,Classic,5,33
260518045943,Classic,31,17
260518045953,8 Pages,33;42,47
260518050005,Classic,82,37
260518050027,Classic,127,36
260518050034,Classic,96,55
260518050046,8 Pages,7;38,25
260518050049,Randomizer,131,13
260518050109,Classic,85,7
260518050118,Classic,129,65
260518050128,Classic,61,52
260518050131,Classic,63,38
260518050149,Classic,96,63
260518050159,Bloodbath,48;74;80,59
260518050208,Randomizer,20,8
260518050212,Classic.exe,7,1
260518050230,Classic,19,64
260518050240,Classic,50,45
260518050249,Classic,114,67
260518050253,Classic,77,65
260518050312,Classic,113,69
260518050321,Classic,55,23
260518050331,Randomizer,83,44
260518050334,Classic,2,39
260518050353,Classic,92,5
260518050402,fog,,51
260518050412,Classic,46,50
260518050415,fog,,25
260518050433,Classic,52,40
260518050443,Classic,93,3
260518050453,Classic,8,8
260518050456,Classic,11,33
260518050514,Classic,67,54
260518050527,Classic,24,67
260518050534,Bloodbath,67;90;128,65
260518050538,Alternate,162,48
260518050556,Classic,37,42
260518050608,Classic.exe,83,19
260518050615,Classic,126,37
260518050618,Classic,90,15
260518050637,Classic,127,70
260518050649,Classic,45,46
260518050656,Classic,79,5
260518050659,Classic.exe,9,19
260518050718,Classic,12,29
260518050730,Unbound,215,2
260518050736,Bloodbath,36;45;88,38
260518050740,Classic,122,50
260518050759,Classic,71,22
260518050810,Classic,118,10
260518050817,Classic,19,2
260518050821,Bloodbath,74;109;113,32
260518050840,Classic,124,51
260518050851,Randomizer,14,14
260518050858,Classic,68,70
260518050902,Classic,12,4
260518050920,Classic,133,53
260518050932,Classic,97,23
260518050939,Bloodbath,8;42;49,67
260518050943,Classic,64,51
260518051001,Classic,27,7
260518051013,Classic,112,33
260518051020,Classic,2,20
260518051024,Midnight,70;79;135,61
260518051042,Classic,21,26
260518051054,Randomizer,70,66
260518051101,Classic.exe,97,71
260518051105,Ghost,7,52
260518051124,Classic,63,69
260518051134,Classic,128,34
260518051143,Classic,64,56
260518051146,Classic,60,62
260518051205,Classic,51,31
260518051215,Randomizer,0,57
260518051224,Classic,92,67
260518051228,Bloodbath,23;51;94,25
260518051246,Classic,22,11
260518051256,Classic,30,12
260518051306,Alternate,156,17
260518051308,Classic,34,2
260518051327,Classic,119,33
260518051337,Alternate,153,26
260518051347,Classic,47,56
260518051350,Bloodbath,82;111;115,2
260518051409,Classic,75,25
260518051419,Classic,69,28
260518051427,Bloodbath,15;28;123,63
260518051431,Unbound,261,5
260518051450,Classic,91,59
260518051459,Bloodbath,37;112;128,62
260518051508,Classic,97,62
260518051512,Classic,125,26
260518051531,Classic,60,3
260518051540,Classic,7,31
260518051549,Classic,64,49
260518051553,Alternate,156,18
260518051611,Classic,98,42
260518051621,Classic.exe,120,60
260518051630,Bloodbath,27;46;63,24
260518051634,Classic,109,70
260518051652,Classic,77,59
260518051702,Classic,117,2
260518051715,Bloodbath,79;113;124,52
260518051733,Classic,108,20
260518051743,Classic,66,69
260518051756,Classic,27,34
260518051814,Classic,80,48
260518051824,Alternate,158,37
260518051829,Run,,1
260518051836,Midnight,86;88;147,59
260518051855,Classic,129,59
260518051904,Classic,9,65
260518051910,Classic,73,25
260518051918,Classic,9,56
260518051938,Classic,91,55
260518051945,Classic,53,57
260518051951,Bloodbath,103;104;117,30
260518051958,Midnight,38;55;141,31
260518052019,Classic,100,52
260518052027,Bloodbath,40;66;122,59
260518052032,Classic,16,9
260518052039,Classic,126,1
260518052100,Classic,42,6
260518052108,Classic,98,29
260518052113,Classic,121,71
260518052120,Randomizer,81,30
260518052141,Classic,64,52
260518052149,Alternate,140,58
260518052156,fog,,25
260518052224,Classic,34,10
260518052230,Classic,110,60
260518052233,8 Pages,0;54,61
260518052236,Classic,83,68
260518052305,Classic,2,60
260518052310,Bloodbath,57,51
260518052314,Randomizer,80,1
260518052317,Bloodbath,28;86;92,25
260518052346,Classic,21,9
260518052351,Classic,21,8
260518052355,Classic,58,46
260518052359,Classic,56,71
260518052426,Classic,54,27
260518052432,Bloodbath,5;37;109,25
260518052436,Classic,22,41
260518052439,Classic,122,68
260518052507,Classic,113,0
260518052513,Classic,105,56
260518052517,Classic.exe,59,70
260518052520,Bloodbath,67;103;127,7
260518052549,Classic,75,34
260518052554,Classic,131,13
260518052557,Classic,89,22
260518052602,Classic,33,32
260518052630,Classic,6,54
260518052638,Classic.exe,7,19
260518052642,Alternate,142,58
260518052706,8 Pages,6;60,8
260518052710,Classic,17,70
260518052719,Classic,28,48
260518052725,Classic,4,36
260518052747,Classic,16,53
260518052753,Classic,6,65
260518052800,Randomizer,72,45
260518052806,Classic,101,34
260518052828,Classic,17,61
260518052834,Classic,96,25
260518052841,Classic,28,3
260518052847,Alternate,160,66
260518052909,Bloodbath,53;111;118,3
260518052915,Classic,63,71
260518052922,Classic,101,70
260518052928,Classic,121,57
260518052950,Classic,51,6
260518053003,Alternate,134,14
260518053009,Randomizer,81,53
260518053030,Alternate,153,9
260518053043,Classic,117,41
260518053050,Classic,14,24
260518053112,Classic,21,71
260518053114,Run,,1
260518053124,Randomizer,10,68
260518053134,Classic,24,57
